,GeneID,symbol
0,53637,S1PR5
1,2596,GAP43
2,56341,PRMT8
3,6326,SCN2A
4,8382,NME5
5,401190,RGS7BP
6,11041,B4GAT1
7,105378803,LRRC53
8,64805,P2RY12
9,8513,LIPF
10,389941,C1QL3
11,9901,SRGAP3
12,84332,DYDC2
13,10529,NEBL
14,8786,RGS11
15,4986,OPRK1
16,3786,KCNQ3
17,64241,ABCG8
19,147,ADRA1B
20,9495,AKAP5
21,6887,TAL2
22,5874,RAB27B
23,4654,MYOD1
24,727800,RNF208
25,10881,ACTL7A
26,63974,NEUROD6
27,10396,ATP8A1
28,23762,OSBP2
29,2571,GAD1
30,5803,PTPRZ1
31,284217,LAMA1
34,387601,SLC22A25
35,11113,CIT
36,83546,RTBDN
37,25769,SLC24A2
38,10297,APC2
39,57795,BRINP2
40,386617,KCTD8
41,2558,GABRA5
42,647310,TEX22
43,6751,SSTR1
44,8671,SLC4A4
45,51310,SLC22A17
46,22844,FRMPD1
47,1586,CYP17A1
48,553,AVPR1B
49,284485,RIIAD1
50,392309,OR13J1
51,4675,NAP1L3
52,22920,KIFAP3
53,9498,SLC4A8
54,344807,CD200R1L
55,10777,ARPP21
56,9745,ZNF536
57,6863,TAC1
58,121256,TMEM132D
59,9479,MAPK8IP1
60,10125,RASGRP1
61,5662,PSD
62,728419,USP17L30
63,7461,CLIP2
64,27233,SULT1C4
65,5225,PGC
66,6860,SYT4
67,442425,FOXB2
68,80319,CXXC4
69,7087,ICAM5
70,30010,NXPH1
71,131096,KCNH8
72,346562,GNAT3
73,728276,CLEC19A
74,11275,KLHL2
75,84966,IGSF21
76,887,CCKBR
77,26330,GAPDHS
78,285556,C4orf54
79,26575,RGS17
80,645191,LINGO3
81,54715,RBFOX1
82,84688,C9orf24
83,3739,KCNA4
84,26609,VCX
85,85449,KIAA1755
86,56934,CA10
88,10752,CHL1
89,64506,CPEB1
90,100130519,TMEM221
91,168667,BMPER
92,9705,ST18
93,338707,B4GALNT4
94,7809,BSND
95,23546,SYNGR4
96,150165,XKR3
97,2583,B4GALNT1
98,23148,NACAD
99,10485,C1orf61
100,79012,CAMKV
101,51617,NSG2
102,644070,GSG1L2
103,83992,CTTNBP2
104,2922,GRP
105,57582,KCNT1
106,54438,GFOD1
107,84063,KIRREL2
