,tau,logtau,T1T2,gPC1
V1,17.369645197330232,1.239790947381158,1.54185,187.02151238165158
MST,14.266526814492277,1.154318257004352,1.4961,67.24310494924507
V6,14.733831442524712,1.1683156971463846,1.49265,129.88960931016277
V2,18.59916705337887,1.269493495173758,1.5082,176.8813623570648
V3,17.063108965719774,1.2320581642079735,1.48455,161.03195758214045
V4,19.952829504997002,1.3000044915652225,1.4539,137.89401468641265
V8,13.004327249887927,1.1140878898484106,1.4285,103.76464144065085
4,15.108096307629303,1.1792097446052268,1.6246,46.87989462166447
3b,16.78209204561615,1.2248460987593153,1.54635,57.39146736414402
FEF,14.971312311671845,1.175259870131848,1.3763,12.427526618125013
PEF,13.907011079454902,1.1432338006475764,1.3489,0.636430972786059
55b,19.63014391141553,1.2929234834871457,1.3136,8.182007319009266
V3A,15.018512150865321,1.1766269102530327,1.5064,144.97757923507356
RSC,23.721421748092645,1.3751407149977566,1.69285,55.71088333967112
POS2,15.315930132134223,1.185143376525364,1.3987,102.92661112431308
V7,15.808026830072572,1.198877664347714,1.4743,112.62617285336844
IPS1,16.204607788207127,1.2096385239533112,1.3877000000000002,90.96151918922018
FFC,18.851145624977097,1.275337748360768,1.3493,20.035186579609306
V3B,20.71235201616543,1.3162294185285468,1.44185,123.12659816390165
LO1,22.70669874405537,1.3561539980921753,1.4036,115.91472263334609
LO2,15.950254025349317,1.2027676040658626,1.3955000000000002,103.20307186156461
PIT,13.522384127193108,1.1310532686767758,1.38195,104.15560500947385
MT,15.966244637656994,1.2032027793237674,1.45575,75.21780039172486
A1,19.59801497470865,1.2922120851734122,1.72165,12.048466500018165
PSL,19.16053162782886,1.2824075548380074,1.2419,18.475872673064238
SFL,23.74011786637879,1.375482870835541,1.1993999999999998,-27.821527423013347
PCV,24.530677587727478,1.3897095444781673,1.29175,60.69108076448862
STV,17.630757852568674,1.2462709807119579,1.2919999999999998,21.407520524970902
7Pm,17.198646518128957,1.2354942705798295,1.27655,73.26689497948699
7m,17.930646633369722,1.2535959518176456,1.3380999999999998,93.13296405684555
POS1,16.408086995248343,1.2150579499844048,1.37965,105.23432263810582
23d,9.701180551933225,0.9868245874613852,1.2913,4.171098971547388
v23ab,28.064599335227093,1.4481588463867239,1.3838,90.90710055871116
d23ab,25.35877491145511,1.4041282688450896,1.39825,45.38463817966113
31pv,23.812972464991844,1.3768136097925363,1.3350499999999998,66.31344205393854
5m,16.59440704646429,1.2199617387543042,1.47595,64.04534762598924
5mv,20.885501836189768,1.3198449149408398,1.2836500000000002,55.819943213710744
23c,17.294248356907197,1.2379016914419552,1.2445499999999998,32.26083079953766
5L,16.144973382587228,1.2080373333541083,1.2735,60.02703555575381
24dd,12.201272954516286,1.08640514282905,1.41795,2.34975335131738
24dv,15.348798773310797,1.1860743924167112,1.2662,-40.208601641705684
7AL,26.208802690950062,1.4184471813208586,1.26535,57.29852101549274
SCEF,15.25952161213944,1.1835409186473882,1.2805,-23.161001938939275
6ma,17.096600909363627,1.232909773956808,1.2223000000000002,-13.0988938727228
7Am,27.824158814761482,1.4444220435321895,1.23825,56.615210917367676
7PL,16.120638533348714,1.2073822400756273,1.31045,68.12529836255472
7PC,18.177497229010743,1.2595340871117804,1.3398,59.11723613503672
LIPv,20.05853262144583,1.3022991591072197,1.4148,61.69053111162228
VIP,29.677023230954568,1.4724203366607171,1.33515,59.310846154604455
MIP,16.60076670547217,1.2201281463693594,1.3577,70.10918754250896
1,15.669999216651329,1.1950689747580596,1.452,56.32721334697932
2,13.346654094945682,1.1253724050093252,1.37005,57.123557797455014
3a,15.695738720594164,1.1957817606048946,1.5615,41.598936123725096
6d,12.399054629508198,1.0933885734816267,1.4003,35.328369643275096
6mp,12.508001096913972,1.0971879106572135,1.3564,17.84222328944956
6v,19.35591477943218,1.2868137013212824,1.3106,-2.033367040318776
p24pr,16.86243655576792,1.2269203286677006,1.1622,-51.59872843670171
33pr,17.84861552523704,1.2516045345620037,1.1856,-73.25457229099001
a24pr,22.103625197626044,1.3444635078122344,1.1263,-86.33834165086664
p32pr,18.25734551948846,1.2614376346418428,1.2286,-65.18186657470198
a24,24.706657121409364,1.3928139881403636,1.1366999999999998,-102.83369028439239
d32,30.73027861759843,1.4875664978267336,1.18455,-85.05557915543278
8BM,25.53171882891894,1.4070800530646237,1.2122000000000002,-55.145772920901365
p32,22.67467970746696,1.3555411611229982,1.17365,-74.7836153440766
10r,26.573868598010456,1.4244547831821353,1.21175,-69.4588809351742
47m,25.381197944310845,1.4045121161166836,1.37805,-60.52678683991969
8Av,20.88123313220635,1.3197561421606483,1.25375,-24.71934080173597
8Ad,26.201647360767137,1.4183285973197337,1.2394500000000002,-47.17026279046398
9m,26.331331771278506,1.420472825163442,1.1603,-63.81757550494188
8BL,26.40897960221216,1.4217516211353665,1.18435,-45.96500534411461
9p,22.059942103810744,1.3436043683023353,1.18445,-48.13325673317109
10d,21.97081750529359,1.341846216749031,1.19495,-43.462427182249705
8C,17.208986249814185,1.235755287580372,1.30845,-24.721863502956452
44,18.867382011982055,1.2757116427919453,1.2668,-51.12769742411569
45,24.78208764322386,1.3941378885510636,1.3025,-49.84126423689527
47l,28.02403379119917,1.4475306479794365,1.23695,-62.0207776828614
a47r,21.68017469277168,1.3360627773036697,1.2012999999999998,-37.67378816803559
6r,17.106608153039176,1.2331639074694523,1.26385,-32.85923735062847
IFJa,17.89067628965358,1.2526267577453143,1.3535,-35.47124603023844
IFJp,15.854249204137634,1.2001456803447812,1.3361,-23.790364929211172
IFSp,20.924449499443583,1.320654040978374,1.34315,-40.436463867126314
IFSa,25.618774231453695,1.4085583464371234,1.26875,-41.07881907163107
p9_46v,20.202465583094174,1.3054043755747573,1.2555999999999998,-35.76497907342862
46,17.252353346224844,1.23684834436982,1.2062,-41.47433331599872
a9_46v,20.70114750903172,1.3159944199993168,1.2442000000000002,-33.80315916529639
9_46d,19.844467322565546,1.2976394457992286,1.21535,-41.359197559117966
9a,13.617484277873366,1.1340968825288464,1.1919499999999998,-41.24443251120165
10v,28.27847060982604,1.4514559177247879,1.14825,-66.08821477672349
a10p,22.888522520479423,1.3596177593887222,1.2117,-37.516850693987294
10pp,26.867194037931544,1.4292223118564853,1.1705,-46.718533529696735
11l,27.62047137505839,1.4412310860398574,1.1886,-47.34041852153328
13l,30.648408245117093,1.4864079239339347,1.2466,-86.35710851036924
OFC,31.34994717223279,1.496236813338119,1.1874,-103.90019391420768
47s,31.837444119072877,1.5029381957007775,1.21025,-107.76171937353107
LIPd,14.93453996800549,1.1741918494755497,1.3866,60.50701602323355
6a,18.87960117464836,1.2759928157311748,1.3117,-9.24564395530698
i6_8,25.97137122682931,1.414494879953685,1.2862,-21.651610748331453
s6_8,31.311990279855234,1.4957106734964154,1.2142,-36.559930232847314
43,16.82260161874669,1.2258931603854362,1.3003,-22.202367195175274
OP4,17.55335704643171,1.244360186745838,1.2946,8.687890292399766
OP1,19.088156568754535,1.2807639885992792,1.3817,28.0754551412949
OP2_3,21.881979492689137,1.3400866066863601,1.3731,8.740365373730826
52,25.82721072348501,1.412077505948424,1.35865,-27.39263308873536
RI,21.266944545138138,1.3277050986236805,1.4656,38.411886928409096
PFcm,19.057262196056517,1.28006050918011,1.34105,34.58173836677501
PoI2,21.56844217602637,1.3338187784457216,1.1636,-83.3294417288434
TA2,21.615670507869453,1.3347687116879134,1.2964,-68.58798997492943
FOP4,19.224848490636052,1.2838629258498016,1.1918,-79.79934227285514
MI,22.375115810503964,1.349765291841923,1.1052,-95.43738711769824
Pir,22.631612160494285,1.354715491978077,1.36905,-130.6441101128177
AVI,26.525540944519566,1.4236642493810823,1.22095,-85.31439532230456
AAIC,27.546095922627554,1.4400600554779626,1.10105,-116.56658238815768
FOP1,17.51462349959859,1.2434008060097368,1.23445,-57.181893918397826
FOP3,16.776382987592154,1.224698332067405,1.18115,-74.43214679560633
FOP2,16.512454889974858,1.2178116441843243,1.23085,-39.32575155010595
PFt,15.938451962154202,1.202446137829086,1.2774,35.70725787968909
AIP,19.07762244831827,1.2805242497226639,1.34835,49.09992368000621
EC,47.94966499183247,1.6807855772479379,1.3411499999999998,-121.39210469795317
PreS,49.264933323773334,1.6925378993425957,1.7004,-13.536446457327562
H,45.41656563236632,1.6572142900927695,1.2469,-79.14868062249037
ProS,18.872150918402173,1.2758214008940296,1.367,48.83411695070321
PeEc,40.4271857498047,1.6066735099245626,1.1457,-129.99053110503726
STGa,27.123603096794433,1.433347380663931,1.1651,-97.56947405891786
PBelt,19.28597981810324,1.2852417079563192,1.50485,8.784259926046554
A5,19.883979608922292,1.2985033090969622,1.3281,-22.0002814830066
PHA1,28.729262018426144,1.4583244702160454,1.30395,-39.65018092013882
PHA3,19.826490991672316,1.297245857029111,1.26015,-38.458097459248215
STSda,22.568032084814043,1.3534936905811892,1.23555,-71.04149691044897
STSdp,20.056812870071205,1.3022619225572885,1.3144,-12.851729257551371
STSvp,22.552125678727165,1.353187483111223,1.27025,-26.78060842593067
TGd,35.466814411766464,1.5498221823957934,1.08155,-115.79928226362127
TE1a,28.276023811776383,1.4514183387170423,1.2008,-73.62916948356172
TE1p,21.848475381676913,1.3394211366644955,1.21785,-22.520338876481684
TE2a,25.34980077001019,1.4039745504612597,1.2050999999999998,-75.84056443404778
TF,24.349220916728928,1.3864850699868545,1.2224499999999998,-89.81078731545276
TE2p,19.85061932450471,1.2977740609741484,1.2488,-29.49362008488083
PHT,20.175823779677355,1.3048312760168759,1.24115,12.20168851447311
PH,17.552299048362514,1.2443340096123177,1.3096,35.843464897142105
TPOJ1,18.21247070753705,1.260368866270689,1.359,20.76906005450361
TPOJ2,16.23144047560869,1.2103570634397878,1.365,38.4763888922962
TPOJ3,17.308051680823112,1.2382481833063717,1.3442,66.3133683363714
DVT,15.928080574012315,1.2021634439530815,1.3509,104.9855463215333
PGp,18.987633953716134,1.278470850736783,1.27345,83.78951352866238
IP2,20.91989527491857,1.3205595061207231,1.339,46.721150451019504
IP1,16.000949235681873,1.2041457473803239,1.33465,66.02564725745582
IP0,18.81715777900933,1.274554026418051,1.34485,91.86760418671223
PFop,16.773057465120875,1.2246122348899877,1.2544499999999998,27.150472373772722
PF,17.33624636535904,1.2389550701135443,1.22475,21.12018701285046
PFm,17.59050792240794,1.2452783798050597,1.2479,31.38701497571428
PGi,17.569236669329285,1.2447528931117082,1.2808,39.879964205659505
PGs,18.2743371950282,1.2618416341791767,1.2592,52.51020458297687
V6A,19.70562507321847,1.294590215478912,1.3873000000000002,100.68615011654887
VMV1,19.4062608380829,1.287941864403188,1.4211,61.47400986314461
VMV3,21.00303401639767,1.3222820357531175,1.3882500000000002,68.23864369278985
PHA2,27.292296230402037,1.4360400764628731,1.20075,-58.13737194821613
V4t,14.785804632231198,1.1698449634802948,1.39105,85.406643016387
FST,14.636349369274559,1.1654327675361595,1.34385,50.94523344859367
V3CD,22.782012638518122,1.3575920884521195,1.3817499999999998,122.48313890055834
LO3,17.205360136153697,1.2356637675415096,1.37135,90.50825589470949
VMV2,26.83022184257088,1.428624263600231,1.35625,43.94810115633732
31pd,20.363154865541695,1.308845064163366,1.31305,68.46044950631243
31a,20.009302506735192,1.3012319500677143,1.2665000000000002,48.518496466443416
VVC,17.77639331028494,1.249843650653766,1.4067500000000002,5.7180357511567195
25,31.439296556062438,1.4974728202796432,1.18995,-136.13667547302862
s32,29.94791382210117,1.4763665747351595,1.1562,-105.65261940263635
pOFC,32.05148875246085,1.5058482067709842,1.31005,-141.13993277307193
PoI1,24.01355235255474,1.3804564104941373,1.18495,-66.43746318114093
Ig,19.823493601118503,1.297180194951636,1.3228,-21.871023535870037
FOP5,24.217617855846843,1.3841314219226182,1.29625,-64.89398632262257
p10p,12.672894233987787,1.1028758103300302,1.23625,-36.42215460986163
p47r,26.98610600623455,1.4311402220144045,1.2348,-35.94932683901372
TGv,35.50377842409493,1.5502745745033801,1.13645,-110.84778923781099
MBelt,20.659916183176453,1.315128555264057,1.59585,-21.623721450452226
LBelt,21.986121263298706,1.342148618968509,1.5966,17.94778264647113
A4,18.902942974502274,1.2765294241778646,1.3861,-1.3430495401695408
STSva,25.228750663158866,1.4018957446305234,1.22755,-71.63757073844971
TE1m,23.949567343650294,1.3792976721571597,1.26105,-52.39743677061741
PI,21.616939915212324,1.33479421542683,1.1618,-90.75923680373535
a32pr,27.377661368804315,1.4373963474502192,1.1951999999999998,-87.65337779106666
p24,30.18387605978142,1.4797750089083006,1.11805,-106.72173589312746
