,GeneID,Symbol,Synonyms
0,1,A1BG,A1B|ABG|GAB|HYST2477
1,2,A2M,A2MD|CPAMD5|FWP007|S863-7
2,9,NAT1,AAC1|MNAT|NAT-1|NATI
3,12,SERPINA3,AACT|ACT|GIG24|GIG25
4,14,AAMP,-
5,15,AANAT,DSPS|SNAT
6,16,AARS1,AARS|CMT2N|EIEE29
7,18,ABAT,GABA-AT|GABAT|NPD009
8,19,ABCA1,ABC-1|ABC1|CERP|HDLCQTL13|HDLDT1|HPALP1|TGD
9,20,ABCA2,ABC2
10,21,ABCA3,ABC-C|ABC3|EST111653|LBM180|SMDP3
11,22,ABCB7,ABC7|ASAT|Atm1p|EST140535
12,23,ABCF1,ABC27|ABC50
13,24,ABCA4,ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1
14,25,ABL1,ABL|BCR-ABL|CHDSKM|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl
15,27,ABL2,ABLL|ARG
16,29,ABR,MDB
17,30,ACAA1,ACAA|PTHIO|THIO
18,31,ACACA,ACAC|ACACAD|ACC|ACC1|ACCA
19,32,ACACB,ACC2|ACCB|HACC275
20,33,ACADL,ACAD4|LCAD
21,34,ACADM,ACAD1|MCAD|MCADH
22,35,ACADS,ACAD3|SCAD
23,36,ACADSB,2-MEBCAD|ACAD7|SBCAD
24,37,ACADVL,ACAD6|LCACD|VLCAD
25,38,ACAT1,ACAT|MAT|T2|THIL
26,39,ACAT2,-
27,40,ASIC2,ACCN|ACCN1|ASIC2a|BNC1|BNaC1|MDEG|hBNaC1
28,41,ASIC1,ACCN2|ASIC|BNaC2
29,43,ACHE,ACEE|ARACHE|N-ACHE|YT
30,47,ACLY,ACL|ATPCL|CLATP
31,48,ACO1,ACONS|HEL60|IREB1|IREBP|IREBP1|IRP1
32,49,ACR,-
33,50,ACO2,ACONM|HEL-S-284|ICRD|OCA8|OPA9
34,51,ACOX1,ACOX|PALMCOX|SCOX
35,52,ACP1,HAAP|LMW-PTP|LMWPTP
36,53,ACP2,LAP
37,54,ACP5,HPAP|TRACP5a|TRACP5b|TRAP|TrATPase
38,55,ACP3,5'-NT|ACP-3|ACPP|TM-PAP
39,56,ACRV1,D11S4365|SP-10|SPACA2
40,58,ACTA1,ACTA|ASMA|CFTD|CFTD1|CFTDM|MPFD|NEM1|NEM2|NEM3|SHPM
41,59,ACTA2,ACTSA
42,60,ACTB,BRWS1|PS1TP5BP1
43,70,ACTC1,ACTC|ASD5|CMD1R|CMH11|LVNC4
44,71,ACTG1,ACT|ACTG|DFNA20|DFNA26|HEL-176
45,72,ACTG2,ACT|ACTA3|ACTE|ACTL3|ACTSG|VSCM
46,81,ACTN4,ACTININ-4|FSGS|FSGS1
47,86,ACTL6A,ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K
48,87,ACTN1,BDPLT15
49,88,ACTN2,CMD1AA|CMH23|MPD6|MYOCOZ
50,89,ACTN3,ACTN3D
51,90,ACVR1,ACTRI|ACVR1A|ACVRLK2|ALK2|FOP|SKR1|TSRI
52,91,ACVR1B,ACTRIB|ACVRLK4|ALK4|SKR2
53,92,ACVR2A,ACTRII|ACVR2
54,93,ACVR2B,ACTRIIB|ActR-IIB|HTX4
55,94,ACVRL1,ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I
56,95,ACY1,ACY-1|ACY1D|HEL-S-5
57,97,ACYP1,ACYPE
58,98,ACYP2,ACYM|ACYP
59,100,ADA,-
60,101,ADAM8,CD156|CD156a|MS2
61,102,ADAM10,AD10|AD18|CD156c|CDw156|HsT18717|MADM|RAK|kuz
62,103,ADAR,ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136
63,104,ADARB1,ADAR2|DRABA2|DRADA2|RED1
64,105,ADARB2,ADAR3|RED2
65,107,ADCY1,AC1|DFNB44
66,108,ADCY2,AC2|HBAC2
67,109,ADCY3,AC-III|AC3|BMIQ19
68,111,ADCY5,AC5|FDFM
69,112,ADCY6,AC6|LCCS8
70,113,ADCY7,AC7
71,114,ADCY8,AC8|ADCY3|HBAC1
72,115,ADCY9,AC9|ACIX
73,116,ADCYAP1,PACAP
74,117,ADCYAP1R1,PAC1|PAC1R|PACAPR|PACAPRI
75,118,ADD1,ADDA
76,119,ADD2,ADDB
77,120,ADD3,ADDL|CPSQ3
78,123,PLIN2,ADFP|ADRP
79,126,ADH1C,ADH3
80,127,ADH4,ADH-2|HEL-S-4
81,128,ADH5,ADH-3|ADHX|FALDH|FDH|GSH-FDH|GSNOR|HEL-S-60p
82,132,ADK,AK
83,133,ADM,AM|PAMP
84,134,ADORA1,RDC7
85,135,ADORA2A,A2aR|ADORA2|RDC8
86,136,ADORA2B,ADORA2
87,140,ADORA3,A3AR
88,141,ADPRH,ARH1|hARH1
89,142,PARP1,ADPRT|ADPRT 1|ADPRT1|ARTD1|PARP|PARP-1|PPOL|pADPRT-1
90,143,PARP4,ADPRTL1|ARTD4|PARP-4|PARPL|PH5P|VAULT3|VPARP|VWA5C|p193
91,146,ADRA1D,ADRA1|ADRA1A|ADRA1R|ALPHA1|DAR|dJ779E11.2
92,147,ADRA1B,ADRA1|ALPHA1BAR
