,patient,cond,pharm,session_id,chan,y,z,exp,knee,tau,log_tau,err,r2
0,Chibi,EyesOpen,Ketamine,0.0,1.0,507.00139961012127,804.9793294360658,3.0655828347821164,3335.8729516531066,0.011286032222340174,-1.9474587141258255,0.03383371172972185,0.9936833965761742
1,Chibi,EyesOpen,Ketamine,0.0,2.0,557.8291790084456,781.6500049875783,3.5290399081098607,16359.512045208196,0.010181053783030579,-1.9922072683185135,0.033424686957473006,0.9955844679286455
2,Chibi,EyesOpen,Ketamine,0.0,3.0,611.2635111964278,790.722520050879,3.230636360846165,4298.368877170959,0.011944827494404847,-1.9228201178914202,0.02813855411176198,0.9958637512529088
3,Chibi,EyesOpen,Ketamine,0.0,4.0,651.6650794361215,811.4596973384232,3.121411531642763,3102.950303601947,0.012110654918850883,-1.9168323704859924,0.03129391822062299,0.9937527504069907
4,Chibi,EyesOpen,Ketamine,0.0,5.0,295.8706236478509,873.671229201056,1.8464742045840212,26.91896741116518,0.026750971608000943,-1.5726604395743295,0.05082629214025216,0.9868789640610031
5,Chibi,EyesOpen,Ketamine,0.0,6.0,349.30495583583286,841.2693896892681,3.1344654358364186,11517.59380555677,0.008055806012213205,-2.0938910003541054,0.03184562392337341,0.990947982111492
6,Chibi,EyesOpen,Ketamine,0.0,7.0,396.2229060496708,811.4596973384232,2.1809116975250746,144.22785389565848,0.016287132700079462,-1.7881553651781985,0.07710977646225245,0.9679717125440176
7,Chibi,EyesOpen,Ketamine,0.0,8.0,445.7474090531663,779.0578578266354,1.7608241118727073,12.221677364097529,0.03840796196544299,-1.4155787371109176,0.045715926458635994,0.9888882028574068
8,Chibi,EyesOpen,Ketamine,0.0,9.0,484.84570089803117,760.9128277000342,2.9544940597506337,4139.4985252973775,0.009497321551142726,-2.022398857824002,0.02809275192392255,0.991699441684705
9,Chibi,EyesOpen,Ketamine,0.0,10.0,548.7062442446438,741.4717239929614,3.518022433530013,21500.720621765824,0.009339373563993869,-2.0296822529802516,0.03434425834430296,0.9904865541786481
10,Chibi,EyesOpen,Ketamine,0.0,11.0,609.9602348015987,740.1756504124899,3.448051987398498,17460.839159711915,0.009365724424144095,-2.0284586249902286,0.036456809767121075,0.9934867699846667
11,Chibi,EyesOpen,Ketamine,0.0,12.0,654.2716322257792,758.3206805390912,3.186913709197283,5385.943921882224,0.010740211510112431,-1.968987165864564,0.030724112783427106,0.9950283369370703
12,Chibi,EyesOpen,Ketamine,0.0,13.0,701.1895824396169,788.1303728899359,3.4304598578582723,7389.441921851789,0.011860314657040879,-1.9259037888803734,0.02477297654386738,0.997894789394651
13,Chibi,EyesOpen,Ketamine,0.0,14.0,275.0182013305896,816.6439916603092,2.327123444225424,154.03998000328514,0.0182709480137977,-1.738238918083715,0.05870479404559992,0.9865774745156366
14,Chibi,EyesOpen,Ketamine,0.0,15.0,323.2394279392562,781.6500049875783,2.201631212224802,160.21251484701617,0.015864554452973592,-1.799572120306848,0.06870143255981839,0.9787379243376229
15,Chibi,EyesOpen,Ketamine,0.0,16.0,376.6737601272384,759.6167541195628,1.6088902081297327,4.813634916764171,0.059928218521860595,-1.2223686323256258,0.05595378640844182,0.9863064437928231
16,Chibi,EyesOpen,Ketamine,0.0,17.0,436.62447428936457,729.8070617687179,1.9741574008401768,44.899806791010526,0.023167735575534424,-1.6351164122656485,0.053415899392042304,0.9832036725738938
17,Chibi,EyesOpen,Ketamine,0.0,18.0,477.02604252905815,724.6227674468319,2.91550075553971,3068.2132856337957,0.010135342586798988,-1.9941615670457813,0.05288131994990575,0.9785801126560275
18,Chibi,EyesOpen,Ketamine,0.0,19.0,542.1898622704997,705.1816637397592,3.3912316071769903,20406.375306958344,0.008530303345331008,-2.0690355246518295,0.02673361834880059,0.994207725635131
19,Chibi,EyesOpen,Ketamine,0.0,20.0,602.1405764326258,702.5895165788161,3.7864082146969475,64041.56774334927,0.008558967064284686,-2.067578644826315,0.03143551989885651,0.9955774212178619
20,Chibi,EyesOpen,Ketamine,0.0,21.0,656.8781850154369,723.3266938663603,3.4316908795843433,9962.782410325623,0.010881427238475426,-1.9633141376210772,0.030656518878415202,0.9978453778285988
21,Chibi,EyesOpen,Ketamine,0.0,22.0,697.2797532551306,751.8403126367335,3.187197490519126,3649.591482939511,0.012138002819964027,-1.9158527659479843,0.02912648376671308,0.9977514927217653
22,Chibi,EyesOpen,Ketamine,0.0,23.0,203.33799961500387,825.7165067236099,2.708904946975527,361.9638648043722,0.018083461142496544,-1.74271844270869,0.05794645075464974,0.98790830070294
23,Chibi,EyesOpen,Ketamine,0.0,24.0,211.15765798397683,781.6500049875783,2.5575136216102217,212.8820472424049,0.019566208884267654,-1.7084933143593843,0.05968020385765591,0.98687144357205
24,Chibi,EyesOpen,Ketamine,0.0,25.0,255.46905540815715,760.9128277000342,1.9771624256760625,13.737337296857342,0.04229578360852696,-1.3737029245119452,0.04814872746086031,0.9922915707139683
25,Chibi,EyesOpen,Ketamine,0.0,26.0,308.90338759613905,729.8070617687179,1.9801108610547427,19.114714144166317,0.03586748337881269,-1.4452990942757218,0.06692449713302803,0.9851611789214451
26,Chibi,EyesOpen,Ketamine,0.0,27.0,366.24754896860765,712.9581052225883,2.5246663555400093,259.5949764041032,0.01760097911766557,-1.7544631723238202,0.0654803646674943,0.9790771337541307
27,Chibi,EyesOpen,Ketamine,0.0,28.0,417.07532836693207,697.4052222569301,2.8648003931026325,1723.106027517833,0.011806974707763592,-1.9278613670804488,0.02043673467588027,0.996583660156297
28,Chibi,EyesOpen,Ketamine,0.0,29.0,471.81293694974295,683.1484128717434,2.452438141017117,526.0445128901421,0.012368096124988492,-1.9076971480708145,0.03256256738469685,0.9891517604405312
29,Chibi,EyesOpen,Ketamine,0.0,30.0,531.7636511118691,670.1876770670282,3.098828624226905,6280.993092203164,0.009466437795022561,-2.0238134145557587,0.0355462749539496,0.9901886892330949
30,Chibi,EyesOpen,Ketamine,0.0,31.0,596.9274708533108,666.2994563256136,2.75683096416288,1627.363561942951,0.01088682389408841,-1.9630988021963622,0.03926524114063692,0.9898714323262852
31,Chibi,EyesOpen,Ketamine,0.0,32.0,659.4847378050944,668.8916034865565,3.6318772526026013,26938.53773275741,0.009593172865137693,-2.0180377296466734,0.03819473482175101,0.9950726973708152
32,Chibi,EyesOpen,Ketamine,0.0,33.0,714.2223463879052,676.6680449693858,3.2381342426810087,5427.441010156461,0.011181580134563267,-1.9514968194164428,0.03454788957058503,0.9959444226306409
33,Chibi,EyesOpen,Ketamine,0.0,34.0,173.36264253394086,773.8735635047494,2.423939278765423,92.71408539855068,0.024562413629579102,-1.6097289594158932,0.05477966590039558,0.9901871290522182
34,Chibi,EyesOpen,Ketamine,0.0,35.0,213.76421077363455,734.9913560906039,2.037824536284147,21.23659232113474,0.035529891569399404,-1.4494061178943862,0.04278999156151702,0.9942876515569972
35,Chibi,EyesOpen,Ketamine,0.0,36.0,254.16577901332823,710.3659580616452,1.565208933391922,3.918090865206934,0.06651343446763207,-1.1770906264880403,0.05107296691011757,0.9887560515269587
36,Chibi,EyesOpen,Ketamine,0.0,37.0,301.08372922716626,689.628780774101,2.5880931312567603,1600.394056233826,0.009199312259002052,-2.036244639315842,0.02744307314867653,0.996569191221284
37,Chibi,EyesOpen,Ketamine,0.0,38.0,362.33771978412113,674.0758978084427,2.805432676830889,842.1772905969851,0.014423025510599357,-1.840943628331293,0.023966079012123238,0.9971608438343182
38,Chibi,EyesOpen,Ketamine,0.0,39.0,411.8622227876167,662.4112355841992,2.115343814572904,39.151881305064386,0.028110463044784862,-1.5511320004922158,0.04587979244688613,0.9929294872329807
39,Chibi,EyesOpen,Ketamine,0.0,40.0,470.50966055491403,645.5622790380694,1.798414927137159,13.356500968174647,0.03766032829383907,-1.4241158984568656,0.051106923497253674,0.9890629981388701
40,Chibi,EyesOpen,Ketamine,0.0,41.0,533.0669275066978,635.1936903942974,2.362648284040333,190.0145613358165,0.017270892975937126,-1.7626852070477124,0.03329416130290616,0.9938150096612628
41,Chibi,EyesOpen,Ketamine,0.0,42.0,586.5012596946801,632.6015432333545,2.66277523212126,676.834050960453,0.013766961882011427,-1.8611618900593483,0.024725634927348434,0.9956185159505861
42,Chibi,EyesOpen,Ketamine,0.0,43.0,649.0585266464636,636.4897639747688,2.8748125842003898,1664.405701352576,0.012058939237875812,-1.918690893141017,0.04173977580348821,0.9904983816595613
43,Chibi,EyesOpen,Ketamine,0.0,44.0,705.0994116241035,641.674058296655,2.869945086752168,372.8213155640325,0.020221329246057955,-1.6941902995237617,0.03501748861992906,0.995559933393363
44,Chibi,EyesOpen,Ketamine,0.0,45.0,75.61691292177875,817.9400652407807,2.11573067269046,19.24507357887957,0.03933566949702632,-1.4052134536964571,0.028719297718430615,0.9969346836048895
45,Chibi,EyesOpen,Ketamine,0.0,46.0,131.65779789941826,749.2481654757906,2.150452511489586,18.322144109438177,0.041163558140047275,-1.3854870922720894,0.022263998144818203,0.9986405767576263
46,Chibi,EyesOpen,Ketamine,0.0,47.0,179.87902450808497,707.7738109007021,1.873747403605932,7.758548957383401,0.05332775407673821,-1.2730467064468558,0.018518991058474148,0.9986404306724572
47,Chibi,EyesOpen,Ketamine,0.0,48.0,237.2231858805535,676.6680449693858,1.8660112620018208,6.945034558023348,0.05633324330146112,-1.2492352441955132,0.014394747388672477,0.9991623355418285
48,Chibi,EyesOpen,Ketamine,0.0,49.0,291.9607944633644,650.7465733599555,1.7915647370982197,1.280112291063409,0.13866196152650695,-0.858042660518953,0.02464541246590729,0.9977671455449182
49,Chibi,EyesOpen,Ketamine,0.0,50.0,351.9115086254906,632.6015432333545,1.7065572200654746,4.93151602277979,0.062481415431343744,-1.2042491406694997,0.023767149506552572,0.997101747121498
50,Chibi,EyesOpen,Ketamine,0.0,51.0,407.9523936031302,622.2329545895823,1.7977712257629301,11.316446916427678,0.041276218063314433,-1.3843001018236034,0.02793142744739651,0.996276079237896
51,Chibi,EyesOpen,Ketamine,0.0,52.0,273.5689655172414,358.1973684210526,2.107501821832793,18.585955069005305,0.039773855787954115,-1.4004023052608991,0.028695024339517074,0.9973545415466604
52,Chibi,EyesOpen,Ketamine,0.0,53.0,327.51724137931035,379.9780701754386,1.8905464697116265,10.535733298921183,0.045801960350041894,-1.3391159335466551,0.027667085105720874,0.9971921960781562
53,Chibi,EyesOpen,Ketamine,0.0,54.0,380.60919540229884,397.5701754385965,1.7778936755013235,10.434412750621268,0.0425568250989042,-1.3710307795254764,0.029574412327579163,0.9961521983099891
54,Chibi,EyesOpen,Ketamine,0.0,55.0,431.9885057471264,410.1359649122807,2.015924007496684,38.13079196706012,0.026147342488892833,-1.582572444504495,0.031954940546204014,0.9948155862233152
55,Chibi,EyesOpen,Ketamine,0.0,56.0,126.2816091954023,255.99561403508773,2.2069458038467444,24.709493229046917,0.037212837795398634,-1.4293072100674413,0.029909520596206565,0.9969069307369285
56,Chibi,EyesOpen,Ketamine,0.0,57.0,177.66091954022988,279.45175438596493,2.3564997655862276,20.74946151383439,0.04394783476845446,-1.3570625169787538,0.024300103128750205,0.9987392569679118
57,Chibi,EyesOpen,Ketamine,0.0,58.0,230.7528735632184,296.2061403508772,2.4156111140617877,55.2048166898602,0.030247333685533964,-1.5193129025551713,0.03508313006905468,0.997006166106285
58,Chibi,EyesOpen,Ketamine,0.0,59.0,285.5574712643678,312.1228070175439,2.205161023497489,31.12656378097976,0.03347438301340578,-1.4752874189863843,0.03313528642456617,0.9968752425648835
59,Chibi,EyesOpen,Ketamine,0.0,60.0,339.5057471264368,330.5526315789474,2.206758513244885,37.097057259721865,0.03095057395325857,-1.5093312929307179,0.028755954097768578,0.9974162374944411
60,Chibi,EyesOpen,Ketamine,0.0,61.0,404.58620689655174,353.17105263157896,2.1578236563296675,39.703364998929075,0.02889852983302406,-1.5391242507260066,0.026380270538814823,0.9976206564465502
61,Chibi,EyesOpen,Ketamine,0.0,62.0,444.83333333333337,363.2236842105263,2.454135307397987,209.8619946313098,0.01801727087516881,-1.744310992136985,0.030542294898796993,0.9960744325944249
62,Chibi,EyesOpen,Ketamine,0.0,63.0,142.55172413793105,208.24561403508773,2.315827109242632,68.5767027570146,0.025641213596350933,-1.591061423547703,0.030926756527981512,0.9963771620702815
63,Chibi,EyesOpen,Ketamine,0.0,64.0,193.9310344827586,231.7017543859649,2.336680638248771,27.109613915383427,0.03877075476327615,-1.4114957443542715,0.035050447044611154,0.9958550460288249
64,Chibi,EyesOpen,Ketamine,0.0,65.0,329.75580991340036,1005.8707344091504,2.186893854005403,21.10727477666808,0.03946368291716681,-1.4038023870015706,0.02669232101980887,0.9976542590846257
65,Chibi,EyesOpen,Ketamine,0.0,66.0,278.92803051507605,977.3571156387769,2.2493006918826546,13.04917386883709,0.05079854909646276,-1.2941486918184157,0.026104362446828358,0.9983696509205062
66,Chibi,EyesOpen,Ketamine,0.0,67.0,328.45253351857156,952.7317176098182,2.2498350659064497,20.794614200461876,0.04130677120744774,-1.3839787508377777,0.03500635430370366,0.996815391148997
67,Chibi,EyesOpen,Ketamine,0.0,68.0,385.7966948910401,985.1335571216061,2.2324237220642864,27.044013849500885,0.036335653322650575,-1.4396670266948512,0.03822134121019853,0.9958989213657781
68,Chibi,EyesOpen,Ketamine,0.0,69.0,444.4441326583375,987.7257042825489,2.195243732891895,25.962935597841845,0.03610265539285352,-1.4424608540485777,0.04433896343287059,0.9944771728899047
69,Chibi,EyesOpen,Ketamine,0.0,70.0,490.0588064773465,983.8374835411347,2.542091792276638,183.74673594781464,0.020470507022463322,-1.688871400408768,0.06042389485782463,0.9891774313574133
70,Chibi,EyesOpen,Ketamine,0.0,71.0,552.6160734291304,987.7257042825489,2.9608751326526863,733.2389189282119,0.01714422620266585,-1.7658821118028187,0.05211530868017222,0.9915306002664698
71,Chibi,EyesOpen,Ketamine,0.0,72.0,615.1733403809142,991.6139250239636,2.8615466385688397,360.64567330889935,0.02033383080559697,-1.6917807944556433,0.05612001115839482,0.9914651945993739
72,Chibi,EyesOpen,Ketamine,0.0,73.0,669.9109489637249,987.7257042825489,2.8042440517755245,164.7549980566616,0.025780438071751458,-1.5887097072103928,0.05923929405951475,0.992050219162952
73,Chibi,EyesOpen,Ketamine,0.0,74.0,723.345281151707,986.4296307020775,3.146135939747012,663.5543467502578,0.020178369309320432,-1.6951139336679497,0.06761621984227383,0.9897862037971046
