,w,w_zscore,pv
A1BG,1.313504365748964e-05,1.6425381189522805,0.0030000000000000027
A2M,-1.7806803845408953e-06,-0.19224939939811897,0.708
NAT1,-7.821401733483434e-06,-0.9353202755849466,0.405
SERPINA3,7.728394115303956e-06,0.9774645986763758,0.19799999999999995
AAMP,2.943304719154133e-06,0.38884937131585795,0.7030000000000001
AANAT,-1.6746560733070243e-06,-0.17920731827986827,0.785
AARS1,-1.393771861039945e-05,-1.6876901794809218,0.08999999999999997
ABAT,-3.957713132211945e-06,-0.4600468258731092,0.623
ABCA1,1.2627603424515089e-05,1.5801177494719278,0.16100000000000003
ABCA2,-3.948566483559181e-06,-0.4589216939830623,0.516
ABCA3,2.564403743452411e-06,0.34224065296270806,0.606
ABCB7,-8.549576332300202e-06,-1.0248932431005706,0.15100000000000002
ABCF1,-3.836342160720498e-06,-0.44511694764828696,0.471
ABCA4,-3.4636238206669412e-06,-0.3992687570902208,0.612
ABL1,4.2746300845393855e-06,0.5526160886665507,0.581
ABL2,-7.964031764342864e-06,-0.9528652368369374,0.38
ABR,9.756594434424392e-06,1.2269541051696775,0.235
ACAA1,5.300728999000425e-07,0.09199702889006828,0.897
ACACA,2.2994009228231366e-06,0.3096425795303941,0.548
ACACB,7.153949929226498e-06,0.9068020535908077,0.30700000000000005
ACADL,1.0154336245105143e-05,1.275880440070131,0.15100000000000002
ACADM,-6.459276558816085e-06,-0.7677648648071616,0.33699999999999997
ACADS,8.12746295681787e-06,1.026554172022532,0.364
ACADSB,-1.3133678321999766e-06,-0.13476514749137336,0.856
ACADVL,9.448115545883149e-06,1.1890080280784694,0.14700000000000002
ACAT1,-6.608127229718273e-06,-0.7860750287857811,0.22699999999999998
ACAT2,-2.9895911839955677e-07,-0.009982438898601799,0.968
ASIC2,8.774732719409841e-06,1.1061750122890097,0.052000000000000046
ASIC1,-3.207674524547862e-06,-0.3677843603203053,0.851
ACHE,-8.964548561229328e-06,-1.0759390967216031,0.31200000000000006
ACLY,-2.509773874389027e-06,-0.2819353999646577,0.781
ACO1,-2.5601430427728806e-06,-0.2881313259016063,0.601
ACR,-1.2543647242847148e-05,-1.5162050582982676,0.07699999999999996
ACO2,1.8142793763020478e-06,0.2499676381107509,0.624
ACOX1,3.3426403723285885e-06,0.437971765241366,0.604
ACP1,1.1982172624116678e-05,1.5007231204755134,0.06899999999999995
ACP2,-1.1281903266512499e-06,-0.11198640910075529,0.867
ACP5,9.83530400166425e-06,1.2366361917475406,0.14400000000000002
ACP3,2.036046131536592e-06,0.27724723066306906,0.744
ACRV1,-4.6703603903470445e-06,-0.5477097707310589,0.663
ACTA1,4.680276448168797e-06,0.6025147649060817,0.737
ACTA2,1.3802331400210992e-06,0.19657548534155564,0.88
ACTB,4.286922386587902e-06,0.5541281682884891,0.5660000000000001
ACTC1,5.618336530667246e-06,0.7179058063319591,0.79
ACTG1,7.639370252154654e-06,0.9665137475824964,0.11599999999999999
ACTG2,2.324876915939778e-06,0.31277638879478376,0.854
ACTN4,-1.3511763552174599e-05,-1.635293324859121,0.02400000000000002
ACTL6A,-3.825830385534178e-07,-0.02026904144645554,0.944
ACTN1,9.005822134270837e-06,1.1346013878920362,0.18999999999999995
ACTN2,-5.472046147821226e-06,-0.6463253670848159,0.394
ACTN3,-4.079471375836699e-06,-0.47502434255479714,0.45399999999999996
ACVR1,-5.212114692241732e-07,-0.03732176470457366,0.894
ACVR1B,-3.877029112688414e-06,-0.45012186135010235,0.538
ACVR2A,1.6242527303859785e-05,2.0247905789583553,0.08399999999999996
ACVR2B,7.761619842485203e-06,0.9815517049642425,0.16700000000000004
ACVRL1,-1.0132298548419843e-05,-1.2195843596007974,0.22999999999999998
ACY1,-3.3385442137433435e-06,-0.38388267855076097,0.5449999999999999
ACYP1,-1.4940878471323672e-06,-0.15699556867506456,0.683
ACYP2,-1.2995999896611156e-05,-1.5718490887643806,0.031000000000000028
ADA,1.3196346229047121e-06,0.18912124426533405,0.772
ADAM8,3.3532160388477892e-06,0.4392726810315072,0.651
ADAM10,3.7208307433806175e-06,0.48449307191151186,0.628
ADAR,7.208366615672979e-06,0.9134958658925535,0.32699999999999996
ADARB1,-8.991981042455308e-06,-1.079313574152868,0.29600000000000004
ADARB2,-3.904164125306463e-06,-0.4534597470820711,0.46499999999999997
ADCY1,-1.223168192406835e-05,-1.4778301144175265,0.0050000000000000044
ADCY2,7.933542403916093e-06,1.002699948854204,0.31799999999999995
ADCY3,-8.724595273308881e-06,-1.0464223735358582,0.45999999999999996
ADCY5,-2.307735294256768e-07,-0.0015949099239363196,0.971
ADCY6,-4.273442534901003e-06,-0.4988847908017799,0.32199999999999995
ADCY7,5.3745145071741146e-06,0.6879131888670925,0.544
ADCY8,4.938323560399376e-06,0.6342572146411988,0.383
ADCY9,-5.7485946752254325e-06,-0.6803436812390342,0.508
ADCYAP1,-5.380223870270407e-06,-0.6350302822279219,0.39
ADCYAP1R1,1.2200286325003156e-05,1.5275533497583853,0.09899999999999998
ADD1,-5.4741648358656775e-06,-0.6465859875125125,0.40800000000000003
ADD2,1.1656315844376896e-05,1.4606393839735732,0.10099999999999998
ADD3,6.279278370631176e-06,0.7992084527810468,0.21499999999999997
PLIN2,4.1553073418779955e-06,0.5379381636611312,0.32699999999999996
ADH1C,1.5522388484867323e-06,0.2177339571722532,0.785
ADH4,1.2959209601364181e-05,1.620908720971276,0.02300000000000002
ADH5,8.012452589460073e-06,1.0124067135475456,0.36
ADK,4.472533421770594e-06,0.5769602352844764,0.34299999999999997
ADM,-1.0664848965924136e-05,-1.285093540125711,0.07399999999999995
ADORA1,-1.0001978868812597e-05,-1.2035536982084962,0.23199999999999998
ADORA2A,-7.964509799410711e-06,-0.9529240400685706,0.19599999999999995
ADORA2B,1.0858987172269356e-05,1.3625597539480059,0.06299999999999994
ADORA3,1.2539820191942082e-05,1.569319508703223,0.016000000000000014
ADPRH,4.163559388111076e-06,0.538953250249395,0.375
PARP1,5.5264443093900695e-06,0.7066021176771036,0.31200000000000006
PARP4,-9.09011196659655e-06,-1.0913846874472135,0.12
ADRA1D,-1.0494714769578618e-05,-1.2641652835409345,0.28900000000000003
ADRA1B,3.1185450766134855e-06,0.41040573825263266,0.852
ADRA1A,2.4111389279981453e-06,0.32338750378903364,0.812
ADRA2A,-6.059299862925176e-06,-0.7185636160321294,0.41400000000000003
ADRA2B,8.584808755244005e-06,1.0828124106543078,0.123
ADRA2C,7.964060112644578e-06,1.0064539410107964,0.28900000000000003
ADRB1,-1.0026446635935977e-05,-1.2065634853025307,0.127
ADRB2,1.2835907718818965e-05,1.6057413208205642,0.0030000000000000027
ADRB3,4.36417491316107e-06,0.5636310238735126,0.6599999999999999
GRK2,-6.441462981372196e-06,-0.7655736115056714,0.28700000000000003
GRK3,-5.5831551709772964e-06,-0.6599929200838128,0.33399999999999996
ADSL,9.535661618911788e-06,1.1997770957831888,0.11399999999999999
ADSS2,5.464036908488337e-06,0.6989253652844922,0.45999999999999996
AP2A1,-1.8343300986990648e-06,-0.19884886621736939,0.779
AP2A2,1.1936875211623256e-05,1.4951510726941049,0.02200000000000002
AP1B1,-7.70672410207475e-06,-0.9212137470550719,0.29400000000000004
AP2B1,1.2171500219574649e-05,1.5240123626233784,0.08299999999999996
AP1G1,-1.150900070174392e-06,-0.11477994120444575,0.851
AEBP1,5.792917903580973e-06,0.739381111389626,0.654
TLE5,-5.6592119901843445e-06,-0.669348691360708,0.358
AFG3L1P,-3.503622232086928e-06,-0.4041889732205566,0.821
AFP,-7.10826082238737e-06,-0.8475966063338248,0.33599999999999997
AGA,9.995773578562212e-06,1.2563756007053417,0.10599999999999998
ACAN,-1.4408587039930684e-05,-1.7456118408668984,0.029000000000000026
AGER,1.3706377961702449e-06,0.1953951593257204,0.842
