,w,w_zscore,pv
A1BG,1.3589820647384945e-05,1.651385006649574,0.026000000000000023
A2M,-8.720510794313242e-07,-0.07501183453866944,0.877
NAT1,-8.27542874133371e-06,-0.9587956248437722,0.42200000000000004
SERPINA3,8.072325155352487e-06,0.9927298222689428,0.17900000000000005
AAMP,-1.1420129360208209e-06,-0.10723873471184796,0.86
AANAT,-2.3059083891649568e-07,0.0015629653137729314,0.975
AARS1,-1.5811000431489562e-05,-1.8583601769418003,0.0040000000000000036
ABAT,-2.4724107149931427e-06,-0.26605597265503794,0.663
ABCA1,1.3749309876398023e-05,1.6704241536129072,0.18700000000000006
ABCA2,-3.184684822699662e-06,-0.3510842312949323,0.696
ABCA3,-1.989427668721269e-06,-0.20839950735220256,0.739
ABCB7,-6.536553895227365e-06,-0.7512161290325088,0.363
ABCF1,-7.77448624275576e-06,-0.8989952363810328,0.262
ABCA4,-4.9455161386362405e-06,-0.5612847972466724,0.482
ABL1,9.28934391120321e-06,1.13801235384275,0.33999999999999997
ABL2,-5.541061988061675e-06,-0.6323785320448017,0.44699999999999995
ABR,9.542281858765471e-06,1.1682070120403065,0.29700000000000004
ACAA1,-1.4237382491832926e-06,-0.1408699063827042,0.812
ACACA,-2.0824783124431935e-06,-0.21950749810378617,0.692
ACACB,8.316555243362838e-06,1.021884973167036,0.31100000000000005
ACADL,8.555398133045961e-06,1.050397023203037,0.269
ACADM,-5.4688246560968156e-06,-0.6237551460768046,0.42600000000000005
ACADS,5.2264803349177304e-06,0.6530049511514419,0.377
ACADSB,1.8776355516691504e-06,0.25323408022678046,0.817
ACADVL,9.747498773723619e-06,1.1927049359905793,0.237
ACAT1,-8.209324718573564e-06,-0.9509044072864113,0.17500000000000004
ACAT2,-6.111147342644144e-06,-0.7004329010746341,0.46299999999999997
ASIC2,6.822547542394071e-06,0.8435366774287497,0.23399999999999999
ASIC1,4.023149124675777e-07,0.0771165665764138,0.957
ACHE,-1.0230428009201298e-05,-1.192175136453847,0.30600000000000005
ACLY,7.523488276518443e-07,0.11890212911617404,0.899
ACO1,-2.786479160129355e-06,-0.3035481300909707,0.657
ACR,-1.3127865105827535e-05,-1.538058874440671,0.08399999999999996
ACO2,-2.0054896067493517e-06,-0.21031691331450453,0.6659999999999999
ACOX1,2.7037310455956716e-06,0.35184985266445745,0.731
ACP1,1.1762282447564659e-05,1.4332212561393096,0.11199999999999999
ACP2,-3.6910091140110183e-06,-0.4115270753229256,0.644
ACP5,1.0289419882597227e-05,1.257397176953955,0.22899999999999998
ACP3,2.3319427920129633e-06,0.3074673495762916,0.74
ACRV1,-2.4521865342175537e-06,-0.2636416958265514,0.6719999999999999
ACTA1,1.2147826564256217e-06,0.17410551608670605,0.857
ACTA2,-4.3577154589982357e-07,-0.02293063628220588,0.955
ACTB,7.65134372509977e-06,0.9424748466256759,0.40900000000000003
ACTC1,1.2599918033410024e-06,0.17950239208601423,0.849
ACTG1,5.265450416470425e-06,0.6576570340190189,0.28500000000000003
ACTG2,4.1653133024364907e-07,0.07881366216716727,0.933
ACTN4,-1.458886495099164e-05,-1.7124668325053833,0.0040000000000000036
ACTL6A,1.589800755425914e-07,0.04806828695162733,0.986
ACTN1,8.320014671871789e-06,1.022297945053593,0.46599999999999997
ACTN2,-1.1582221574965575e-05,-1.3535465125770818,0.15000000000000002
ACTN3,-6.75453141093573e-06,-0.7772373593184329,0.33999999999999997
ACVR1,2.381395371859836e-06,0.31337078858121253,0.6
ACVR1B,-4.352986841383849e-06,-0.4905511656385862,0.43799999999999994
ACVR2A,1.834047052515831e-05,2.2184974176503864,0.06499999999999995
ACVR2B,6.161403881368118e-06,0.7646121544121076,0.369
ACVRL1,-1.0883624618421254e-05,-1.2701509741693195,0.276
ACY1,-3.7154034472377824e-06,-0.4144391672444358,0.5680000000000001
ACYP1,-5.469005420011555e-06,-0.6237767249054169,0.273
ACYP2,-1.3656913053716965e-05,-1.601214372105599,0.05300000000000005
ADA,1.018976204697151e-06,0.15073097327967144,0.847
ADAM8,5.169919677171275e-06,0.6462529799879895,0.5880000000000001
ADAM10,5.719072565346229e-06,0.711808520057999,0.607
ADAR,7.749176514430176e-06,0.9541537096148606,0.394
ADARB1,-1.1897530505395555e-05,-1.3911867538802452,0.19799999999999995
ADARB2,-1.8484082512260188e-06,-0.1915652080644712,0.716
ADCY1,-1.3080709078458119e-05,-1.532429588119275,0.0020000000000000018
ADCY2,4.647927874954504e-06,0.5839398150328484,0.494
ADCY3,-6.8110857348184295e-06,-0.7839885743721238,0.32099999999999995
ADCY5,-2.4867994763537322e-06,-0.26777364189113495,0.579
ADCY6,-5.68534874550535e-06,-0.6496028725023485,0.269
ADCY7,1.1411405201779853e-06,0.165314430548274,0.866
ADCY8,7.260235971779148e-06,0.8957860636899974,0.33899999999999997
ADCY9,-2.760571852515992e-06,-0.3004554257113248,0.611
ADCYAP1,-8.000555086295526e-06,-0.9259823750274391,0.252
ADCYAP1R1,1.2603296154669257e-05,1.5336179015229865,0.133
ADD1,-5.6221179027563876e-06,-0.6420546429751107,0.351
ADD2,1.1989582799060495e-05,1.4603554069764901,0.14200000000000002
ADD3,5.248239777127875e-06,0.6556025009712175,0.41400000000000003
PLIN2,3.528758000232578e-06,0.45033806741879145,0.45699999999999996
ADH1C,3.7538413117623525e-06,0.4772075574384444,0.605
ADH4,1.3715361486346582e-05,1.6663715389544906,0.04400000000000004
ADH5,8.927669741792506e-06,1.0948372271783207,0.389
ADK,2.6566461629456987e-07,0.06080383444070609,0.963
ADM,-9.336547131081074e-06,-1.0854674326699845,0.249
ADORA1,-1.209257918223522e-05,-1.4144708367385899,0.14500000000000002
ADORA2A,-6.231164710733665e-06,-0.7147600648796673,0.28400000000000003
ADORA2B,9.821658818310256e-06,1.2015578472274662,0.15900000000000003
ADORA3,1.2596858475372972e-05,1.5328493987031833,0.04500000000000004
ADPRH,5.67206995442057e-06,0.7061975479402479,0.29100000000000004
PARP1,3.23545098002713e-06,0.4153243207374346,0.486
PARP4,-8.154392346384551e-06,-0.9443468139390553,0.29100000000000004
ADRA1D,-1.2389034673662282e-05,-1.4498604345458759,0.252
ADRA1B,-3.0112943124234855e-06,-0.330385608399685,0.619
ADRA1A,5.510132364756023e-06,0.6868661260781583,0.775
ADRA2A,-7.623687268116307e-06,-0.8809934950857317,0.43300000000000005
ADRA2B,8.450847960217197e-06,1.0379162674940388,0.16400000000000003
ADRA2C,5.282207162009481e-06,0.6596573831518066,0.6890000000000001
ADRB1,-9.118952214237632e-06,-1.0594918754120282,0.14800000000000002
ADRB2,1.3061951201134217e-05,1.5883701935063195,0.010000000000000009
ADRB3,7.458201958798962e-06,0.9194184026506582,0.655
GRK2,-8.929449916160072e-06,-1.036869895700206,0.19599999999999995
GRK3,-5.855459384952995e-06,-0.6699099583445197,0.44199999999999995
ADSL,7.5913737458895275e-06,0.9353158851419623,0.21599999999999997
ADSS2,2.2117810242040336e-06,0.29312294794588106,0.6639999999999999
AP2A1,-5.899561655214295e-06,-0.6751747001086965,0.577
AP2A2,1.1560033411801959e-05,1.4090776250056818,0.16400000000000003
AP1B1,-1.087327040416285e-05,-1.2689149320354682,0.17100000000000004
AP2B1,1.2071940052655742e-05,1.4701868662192195,0.21599999999999997
AP1G1,1.0953068002788926e-06,0.15984299567812665,0.897
AEBP1,3.7794635713221475e-06,0.48026623399177837,0.5409999999999999
TLE5,-7.340965679396983e-06,-0.8472433922691156,0.29400000000000004
AFG3L1P,-3.8455544454460834e-07,-0.01681667556758643,0.965
AFP,-5.179521778007863e-06,-0.5892193968796026,0.5589999999999999
AGA,8.700850289979793e-06,1.0677604841033963,0.10599999999999998
ACAN,-1.601608978113088e-05,-1.882842872686196,0.05400000000000005
AGER,3.6883619712856508e-06,0.4693909117996608,0.6890000000000001
AGL,-1.1664350730205426e-05,-1.3633507424066567,0.062000000000000055
AGRP,-1.0257877237798684e-07,0.016844502273907012,0.986
JAG1,4.964678040742349e-06,0.6217521048935035,0.489
AGT,1.0739557113937807e-05,1.3111326483346486,0.15900000000000003
AGTR1,2.58166346192869e-06,0.3372779428290663,0.781
APLNR,1.018877522975685e-05,1.2453826456382102,0.11199999999999999
AGXT,5.226648121471223e-06,0.6530249807977707,0.5740000000000001
NR0B1,1.5019641737067516e-05,1.8220709772708708,0.009000000000000008
AHCY,1.0866372695715429e-05,1.3262713540243396,0.15500000000000003
AHR,5.563052305361483e-06,0.6931834838879174,0.45599999999999996
AHSG,-1.0282309438326938e-06,-0.09365592360632227,0.868
AIF1,1.355980692784946e-05,1.6478020962506186,0.030000000000000027
CRYBG1,5.773309523668532e-06,0.7182830978506963,0.381
AK1,7.634296353506043e-06,0.9404398037884891,0.16600000000000004
AK2,-1.3810073135053875e-05,-1.6194979722931098,0.09699999999999998
AK4,1.5195550818019164e-05,1.8430702564394261,0.03600000000000003
