,region,T1T2,ADRA1A,ADRA1B,ADRA1D,ADRA2A,ADRA2B,ADRA2C,ADRB1,ADRB2,ADRB3,DRD1,DRD2,DRD3,DRD4,DRD5,CHRM1,CHRM2,CHRM3,CHRM4,CHRM5,CHRNA10,CHRNA2,CHRNA3,CHRNA4,CHRNA5,CHRNA6,CHRNA7,CHRNA9,CHRNB2,CHRNB3,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HTR2A,HTR2B,HTR2C,HTR3A,HTR3B,HTR3C,HTR4,HTR5A,HTR6,HTR7,GRIA1,GRIA2,GRIA3,GRIA4,GRIN1,GRIN2A,GRIN2B,GRIN2C,GRIN2D,GRIN3A,GRIN3B,GRM1,GRM2,GRM3,GRM4,GRM5,GRM6,GRM7,GRM8,GRID1,GRID2,GRIK1,GRIK2,GRIK3,GRIK4,GRIK5,GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ,GABRR1,GABRR3,VIP,PV+,SOM
1,V1,1.542435408,0.445515662,-4.085488796,-2.359457493,3.629812717,-0.859787405,-2.935093164,1.718791485,-2.127824306,-0.268750638,0.04727044,-0.802386343,0.398607582,0.933542371,-1.930886984,0.705186069,4.090825558,-1.795838952,-1.494735003,-4.295005798,2.368060827,0.240808845,1.719338775,-2.155201674,-0.412991583,-1.24676156,-1.855426431,-0.573502064,-1.019145489,-1.582409024,-3.452060699,3.75928545,0.37472862,-3.615231514,1.585905671,1.468979001,-1.329928756,-3.083440542,-1.760494113,-1.172024488,0.446561307,-1.294474363,-1.13109839,0.154809654,-2.33372426,0.477946341,0.097165041,-2.339076996,-1.614345431,-0.320036352,2.227283001,-2.182471991,-0.776557326,-0.687298179,-2.444541454,-0.030378729,-2.189964056,-0.141832322,-3.647403002,4.501706123,-0.820626736,-2.140873671,1.296586633,-1.812654138,-1.018340707,-1.06559515,-1.586788058,-2.622783184,-0.896143973,-0.820322216,-2.076978922,2.475479126,-1.676898718,-3.028414965,1.797270298,-2.357931852,1.944132566,-3.457436085,2.421862364,-2.300238609,1.915153623,-1.416643023,-2.722288132,2.873942614,3.208587646,-1.373687029,-0.713774145,0.523630083,-0.048087463,-1.82684958,1.819186687,-2.434810638
2,MST,1.480493963,-0.743004024,-0.501980364,0.420119584,0.419765949,-0.655174196,-0.726474345,1.127023816,-0.731559634,-1.029438138,-0.344249368,-1.223412395,0.766718984,-0.105335198,-0.93578577,0.123281159,0.041797098,0.017807148,-1.089647293,0.565129459,0.656702816,-0.202639684,-0.634406567,-1.113356233,-1.003715992,-0.429878414,-0.073851109,-0.076199435,-0.805351019,-0.852919877,-0.805635512,-0.337279171,0.49643448,-0.842411339,0.914296865,-0.030476762,0.488678813,-0.343627483,-1.09469533,-0.061862998,-0.032575097,-0.036092985,0.716125965,0.091007747,-1.055310488,-0.008810747,-0.057578042,-0.155119449,-0.527596533,-1.162440419,0.548092306,-1.287146568,-1.19352293,-0.228446692,-1.140302539,0.552264214,-0.949312747,-0.454546958,-0.940594494,-1.229458332,-0.239348918,-1.611099601,0.202590749,-0.049486488,0.10195861,-0.912588239,0.111857869,-0.320080817,-0.273898929,-1.500009775,-0.848721981,0.234397054,-0.799761236,-0.833079576,0.567272246,-1.156150818,0.608623147,-1.128333569,0.279777259,-1.198615313,0.047893394,0.34092012,-0.062322687,1.176508546,-0.050929334,0.266411036,-0.498753905,-0.316409111,-0.985247433,0.207635224,0.708244145,-0.677743495
3,V6,1.492421508,-0.29880777,-1.373979449,-0.008745098,0.293728739,0.312247902,-1.531110287,1.767117143,-1.686118484,-0.862095892,0.982263446,-0.599550605,0.790729105,-0.709246695,-1.260247111,0.489044338,1.150937557,-0.562307954,-1.823469162,-1.607479334,0.984248042,-1.398776174,-0.819875002,-1.327574372,-0.694599748,-1.1688416,-0.318715423,0.751811087,-0.525431871,-1.033620834,-1.798101306,1.243787289,-0.3819125,-1.397704601,1.348163366,1.033646584,-0.879007757,-1.426027298,-1.543678641,-0.25270927,-0.636229753,-0.150303304,0.209763885,0.238212168,-1.623200893,0.011732979,-0.13314712,-1.153021455,0.064151354,-0.547980249,1.304850459,-0.544615269,-1.486959338,-0.681474924,-1.4807235,-0.688195467,-1.91601181,-1.418759227,-2.066859007,0.252307951,-0.137610376,-1.685404062,0.83122009,-0.287127316,-0.532540619,-1.465752363,-0.845418274,-1.244219542,-0.678946018,-1.256521106,-1.816873193,1.14427352,-1.016648293,-1.558432698,1.734409809,-1.86230123,1.12124145,-1.853447437,1.699569464,-1.527358532,1.155318022,-1.285451531,-2.08976984,1.714445114,1.458582759,-1.125743747,-0.694446146,-1.399404049,-0.572890997,0.168934301,1.19468832,-1.506535411
4,V2,1.504714906,0.483145148,-3.309109688,-1.352767467,2.565678596,-1.010419607,-2.493298054,1.791311622,-2.026265144,-0.361530602,0.393719554,-0.838182747,0.477556139,0.514112175,-2.130994081,0.745802224,3.246334791,-1.547826648,-1.434741259,-3.610371828,2.596633911,0.191361561,0.583453357,-1.974677444,-0.447376639,-1.408086896,-1.354632258,-0.499851167,-0.894235313,-1.546793103,-2.732736588,3.482367516,0.283762515,-2.866474628,1.661727428,1.411891699,-1.122798324,-2.212016582,-1.647353053,-0.93640089,0.38739717,-0.847908378,-0.93877691,0.209946901,-2.165906906,0.517014682,0.244212046,-2.085395813,-1.145888805,-0.734817028,1.777760863,-1.95850873,-0.847269416,-0.608613968,-2.303157091,0.041651726,-2.291756153,-0.071499519,-3.118694782,3.118661404,-0.477161795,-2.128385782,1.188236356,-1.159377575,-0.858744562,-1.327127576,-1.339348316,-1.879984736,-0.816341579,-0.895464003,-2.011791229,1.906817913,-1.329930425,-2.524394035,1.826055765,-2.118255615,1.925409675,-2.843669653,2.144480705,-1.759150505,1.450297713,-1.077271461,-1.764833212,2.771499872,2.739877939,-1.083422184,-0.677311122,0.35154438,-0.028235549,-1.332758427,1.419204593,-2.263945103
5,V3,1.482459962,-0.303466022,-2.577552557,-0.400315791,1.607716441,-1.426117063,-2.161166668,1.553658247,-1.811237335,-0.45495525,0.39989689,-0.216615453,0.643562019,0.738253415,-1.767627954,0.898974419,2.410126448,-1.30554378,-1.452971101,-2.393000841,2.570803881,0.328249395,-0.160600916,-1.396412373,-1.172996402,-1.761832237,-0.187321678,-0.799318671,-0.773210049,-1.503282189,-2.225839376,3.117757797,0.092112228,-2.393263817,1.573612213,1.625583053,-0.888275146,-1.563083768,-1.647748232,-0.562531054,0.522726774,-0.470346808,-0.64057976,0.255562484,-1.930120587,0.012547973,-0.047433976,-1.723851919,-0.467121243,-0.390517592,1.520891905,-1.580408931,-1.340322375,-0.740348041,-2.107667208,-0.390326232,-1.691747546,0.117649525,-2.358611345,2.111187935,-0.33052671,-1.883273005,0.822685659,-1.030664325,-0.263902783,-1.71695447,-1.044884324,-1.520830035,-0.769246519,-1.008529305,-1.295190215,1.601966381,-1.226613164,-2.150768518,1.803563237,-2.097991467,1.840800524,-2.463911533,1.75284183,-1.762393475,1.332940221,-1.049932003,-1.528322577,1.920532584,2.20844841,-0.58889401,-0.791734338,0.30143249,-0.594852209,-1.072595477,1.279658079,-1.95931077
6,V4,1.446608007,-0.181402415,-2.307530403,0.112529464,1.036786318,-1.406519532,-2.26141715,0.972557306,-1.5207268,-0.679840147,0.188283011,0.057199948,0.505838394,1.20813179,-1.587092996,0.772505879,1.823326826,-1.01597333,-1.18102932,-0.879705012,2.40848279,0.083882414,-0.336644709,-0.992058694,-1.513816714,-2.082518339,0.537921131,-1.149259806,-0.530521452,-1.40521574,-1.661279678,2.349642038,0.337326258,-1.946893096,1.403716564,1.160562277,-0.230089292,-1.203599572,-1.532119632,-0.350115478,0.577948689,-0.325518787,0.060816593,0.348718017,-1.71955061,-0.049296133,0.181670964,-1.521109462,-0.240895733,0.089242555,0.91079247,-1.480714083,-1.419094086,-0.464041382,-1.862609148,0.183900356,-1.284663916,0.622848392,-1.598615766,1.479105711,-0.380828291,-1.477190733,0.553287685,-0.761994123,0.03579805,-1.573191881,-0.49177444,-1.342947721,-0.649865448,-1.005953312,-0.818873048,1.284934878,-1.040171266,-1.963672638,1.406837463,-1.854173303,1.840903282,-1.971532106,1.502439976,-1.51221478,1.007214785,-0.947910309,-1.333264351,1.138152838,1.542839766,-0.111966796,-0.870503902,0.239904597,-0.031948272,-1.004959345,1.078034401,-1.597825527
7,V8,1.428088188,0.673190892,-1.453058124,0.613921821,-0.294352084,-1.783134222,-1.773519993,0.27313149,-1.467057586,-0.547684252,-0.762327194,0.102162242,0.701737702,0.521098495,-1.025384426,0.47147724,0.71431303,-0.626511097,-0.592369437,0.700900495,2.460685015,-0.623874784,-0.613663435,-0.502990842,-1.190255165,-1.469040751,1.13150847,-0.526175201,0.191226393,-1.536461473,-1.009892583,1.759474874,1.026494503,-1.609674811,0.806976199,0.53587836,-0.18276915,-0.029881738,-0.95338285,-0.023734264,0.99440825,0.195971936,0.395687461,0.011761421,-1.362787366,-0.350667745,0.572276115,-0.114441819,0.000717008,-0.741037786,-0.156423941,-1.575856566,-2.059619427,-0.953643978,-1.287586927,1.312664151,-0.979164779,-0.072878361,-0.516782403,0.819076777,-0.590022087,-1.230754852,0.056199323,0.200030223,0.295731217,-1.315699697,-0.242682636,-0.861958921,-0.600274622,-1.017736197,-0.180868462,0.924384534,-0.687614083,-1.572760582,0.924861252,-1.040774703,1.390066743,-1.283346176,0.981262565,-1.324455619,0.773303092,-0.312151492,0.214421943,0.494667888,0.358358026,1.026494026,-0.828031182,-0.475241572,0.597177982,-0.678154707,0.836319149,-0.934598088
8,4,1.625340343,0.641471744,-0.03361873,0.272346944,0.365533024,-0.949219525,-0.827261388,-0.711836457,-0.614493132,0.157972574,0.015298398,0.623726487,0.309230357,-1.54860878,-0.395954072,-1.620595932,0.465066761,-1.588774085,1.168723583,1.7156986,0.103775531,-0.232754961,-0.405665994,1.355328918,0.568002522,-0.6499663,1.271531582,0.818864703,0.361208975,-0.262663692,-1.122220874,0.427522957,-1.54562068,0.154131696,0.606983602,-1.104673982,1.91795373,-1.440492511,-0.590280414,-1.719850183,1.866467953,-0.949673712,-0.255456924,1.584505916,-0.409615993,-1.32370472,-1.127516866,0.731830835,-0.603413463,-0.503095865,-1.43690443,-2.206205368,0.814056456,-0.889686525,-0.489646643,1.378540993,-0.74407059,0.652251899,0.294586599,1.833061576,-2.46172452,-0.162991658,-2.31851244,-1.799316287,1.784784794,-0.496137798,-2.287914038,-2.284014463,-0.337880015,0.571193218,-0.355239242,0.423591167,-1.65839684,-0.634584725,-0.892792583,-1.152935624,0.377822697,-1.031549573,-0.154731572,-1.695483088,0.615081728,-1.191318989,-1.712989807,-0.079589024,-0.265281349,1.572429538,-0.632514298,0.347923845,0.369490832,-2.039569616,1.043511271,-0.798040569
9,3b,1.546963573,0.532918394,-0.523158669,-0.039721381,0.498799056,-0.840979576,-0.946967244,-0.340226501,-0.676190317,0.295041621,0.083117001,0.83515203,0.481500417,-1.789173722,-1.022060394,-1.285035253,0.74676007,-1.332663178,1.086746693,1.391808629,0.023440303,-0.091396697,-0.480855405,0.958296359,0.675050259,-0.757223308,0.966789067,0.626679718,0.048255328,-0.637941718,-1.443592787,0.123482943,-0.94469291,-0.507196486,0.819445014,-0.793627918,1.686003089,-1.233480334,-0.65847367,-1.277816415,1.440064788,-0.66174233,-0.314584941,1.244694352,-0.64173466,-1.282815456,-0.917241335,0.565403342,-0.542221189,-0.442940891,-0.767753124,-2.365583658,0.572492301,-0.887355506,-0.959702671,1.464455366,-1.131523967,0.427111506,0.054748859,1.456231952,-2.447815657,-0.386763841,-1.904546499,-1.688314319,1.717320561,-0.971268773,-1.658910036,-2.258793592,-0.598971009,-0.056600243,-0.34782657,0.576878309,-1.408971906,-1.184401035,-0.433422893,-1.386455417,0.711504996,-1.246116757,0.026441311,-2.005927801,0.91274929,-0.758799374,-1.22172153,0.131990388,0.093087129,1.179770112,-0.686767519,0.160909459,-0.052685492,-1.734901071,1.126248002,-0.715132415
10,FEF,1.386514902,-0.017838666,0.620561063,0.80946064,0.536637723,0.400426507,0.182764322,-0.192132026,0.220790774,0.11050228,-0.659982562,0.525858104,-0.352077633,0.395035923,0.108454987,-0.282599777,0.784353077,-1.351626039,0.599139214,0.949532151,-0.044706922,1.347288132,0.374391794,1.553431034,1.322850227,0.032869082,0.520485222,1.18906045,0.400561512,0.858229637,-0.626628935,0.342428863,-1.928066611,0.622401714,-0.086113311,-0.228278309,2.203486919,-1.180915236,-0.864515901,-1.291908741,0.974161148,-1.310670018,0.044502262,1.286461353,0.052617267,-1.581110716,-1.681416273,-0.418311208,-0.56969136,-0.261850744,0.328749239,-0.390433997,0.773190379,-0.167671621,0.16147995,0.327961266,-0.039391588,1.498531818,0.327617437,2.229219913,-1.849610209,-0.613232493,-1.484866738,-1.184129477,2.195045233,0.471055716,-1.915462255,-1.680830359,-0.102195024,1.022716641,-0.641166985,0.501712501,-1.584644318,0.33051154,-0.533151567,-0.496417165,0.486652076,-0.876396477,0.201312006,-1.08805871,0.782650054,-0.548870623,-1.827278137,-0.191927806,-0.292726427,1.134681582,-0.561628699,1.004404306,1.512972713,-1.483405352,0.882150173,-0.068520412
