,ID,enrichment,branch,depth,name,n_enriched,n_in_cat,ratio_in_study,ratio_in_pop,enrichment_ratio,pv
all,GO:0006813,e,BP,7,potassium ion transport,28,156,0.025,0.009,2.911,0.004
all,GO:0071805,e,BP,8,potassium ion transmembrane transport,26,147,0.023,0.008,2.868,0.008
all,GO:0015079,e,MF,7,potassium ion transmembrane transporter activity,26,146,0.023,0.008,2.888,0.001
all,GO:0015075,e,MF,3,ion transmembrane transporter activity,83,780,0.074,0.043,1.726,0.001
all,GO:0022857,e,MF,2,transmembrane transporter activity,96,944,0.086,0.052,1.649,0.001
all,GO:0046873,e,MF,6,metal ion transmembrane transporter activity,50,392,0.045,0.022,2.068,0.001
all,GO:0005215,e,MF,1,transporter activity,105,1073,0.094,0.059,1.587,0.002
all,GO:0022832,e,MF,6,voltage-gated channel activity,28,184,0.025,0.01,2.468,0.006
all,GO:0005244,e,MF,7,voltage-gated ion channel activity,28,184,0.025,0.01,2.468,0.006
all,GO:0015318,e,MF,3,inorganic molecular entity transmembrane transporter activity,75,732,0.067,0.04,1.662,0.008
all,GO:0001227,e,MF,4,"DNA-binding transcription repressor activity, RNA polymerase II-specific",32,233,0.029,0.013,2.227,0.011
all,GO:0001217,e,MF,3,DNA-binding transcription repressor activity,32,234,0.029,0.013,2.218,0.011
all,GO:0022836,e,MF,5,gated channel activity,38,307,0.034,0.017,2.007,0.015
all,GO:0005249,e,MF,9,voltage-gated potassium channel activity,16,83,0.014,0.005,3.126,0.015
all,GO:0015077,e,MF,6,monovalent inorganic cation transmembrane transporter activity,41,347,0.037,0.019,1.916,0.022
all,GO:0005267,e,MF,8,potassium channel activity,19,114,0.017,0.006,2.703,0.022
all,GO:0022890,e,MF,5,inorganic cation transmembrane transporter activity,56,534,0.05,0.029,1.701,0.033
positive,GO:0050866,e,BP,5,negative regulation of cell activation,28,172,0.034,0.009,3.596,0
positive,GO:0002376,e,BP,1,immune system process,133,1804,0.162,0.1,1.629,0
positive,GO:0006955,e,BP,2,immune response,69,765,0.084,0.042,1.992,0
positive,GO:0002695,e,BP,6,negative regulation of leukocyte activation,23,152,0.028,0.008,3.343,0.001
positive,GO:0045087,e,BP,6,innate immune response,39,375,0.048,0.021,2.297,0.005
positive,GO:0050865,e,BP,4,regulation of cell activation,46,484,0.056,0.027,2.099,0.005
positive,GO:0045321,e,BP,3,leukocyte activation,64,771,0.078,0.043,1.834,0.006
positive,GO:0007165,e,BP,4,signal transduction,244,4144,0.298,0.229,1.301,0.006
positive,GO:0051250,e,BP,7,negative regulation of lymphocyte activation,19,127,0.023,0.007,3.305,0.007
positive,GO:0070663,e,BP,5,regulation of leukocyte proliferation,24,188,0.029,0.01,2.82,0.007
