,ID,enrichment,branch,depth,name,n_enriched,n_in_cat,ratio_in_study,ratio_in_pop,enrichment_ratio,pv
0,GO:0044281,e,BP,2,small molecule metabolic process,592,1549,0.103,0.086,1.207,0.000
1,GO:0032879,e,BP,3,regulation of localization,934,2590,0.163,0.143,1.139,0.000
2,GO:0046033,e,BP,10,AMP metabolic process,13,13,0.002,0.001,3.159,0.000
3,GO:0009987,e,BP,1,cellular process,4356,13316,0.760,0.735,1.033,0.000
4,GO:0044283,e,BP,3,small molecule biosynthetic process,224,533,0.039,0.029,1.328,0.000
5,GO:0023051,e,BP,3,regulation of signaling,1165,3315,0.203,0.183,1.110,0.001
6,GO:0006810,e,BP,3,transport,1350,3892,0.235,0.215,1.096,0.003
7,GO:0048583,e,BP,3,regulation of response to stimulus,1298,3736,0.226,0.206,1.098,0.003
8,GO:0010646,e,BP,4,regulation of cell communication,1145,3275,0.200,0.181,1.104,0.004
9,GO:0051234,e,BP,2,establishment of localization,1382,4002,0.241,0.221,1.091,0.005
10,GO:0043436,e,BP,4,oxoacid metabolic process,335,870,0.058,0.048,1.216,0.006
11,GO:0051179,e,BP,1,localization,1540,4492,0.269,0.248,1.083,0.007
12,GO:0007214,e,BP,6,gamma-aminobutyric acid signaling pathway,19,26,0.003,0.001,2.309,0.008
13,GO:0006082,e,BP,3,organic acid metabolic process,339,887,0.059,0.049,1.207,0.010
14,GO:0006577,e,BP,5,amino-acid betaine metabolic process,14,17,0.002,0.001,2.602,0.010
15,GO:0008652,e,BP,7,cellular amino acid biosynthetic process,41,74,0.007,0.004,1.750,0.011
16,GO:0006629,e,BP,3,lipid metabolic process,402,1071,0.070,0.059,1.186,0.011
17,GO:0044255,e,BP,4,cellular lipid metabolic process,326,854,0.057,0.047,1.206,0.014
18,GO:0019637,e,BP,4,organophosphate metabolic process,309,806,0.054,0.044,1.211,0.014
19,GO:0051049,e,BP,4,regulation of transport,624,1733,0.109,0.096,1.137,0.018
20,GO:0019752,e,BP,5,carboxylic acid metabolic process,301,785,0.052,0.043,1.211,0.018
21,GO:0032880,e,BP,4,regulation of protein localization,365,972,0.064,0.054,1.186,0.020
22,GO:0044272,e,BP,4,sulfur compound biosynthetic process,80,174,0.014,0.010,1.452,0.024
23,GO:0046394,e,BP,6,carboxylic acid biosynthetic process,113,263,0.020,0.015,1.357,0.032
24,GO:0055085,e,BP,4,transmembrane transport,424,1150,0.074,0.063,1.165,0.033
