,ID,enrichment,branch,depth,name,n_enriched,n_in_cat,ratio_in_study,ratio_in_pop,enrichment_ratio,pv
0,GO:0044281,e,BP,2,small molecule metabolic process,372,1549,0.110,0.086,1.287,0.000
1,GO:0140352,e,BP,4,export from cell,231,922,0.068,0.051,1.343,0.001
2,GO:0032940,e,BP,5,secretion by cell,221,879,0.065,0.049,1.348,0.001
3,GO:0006521,e,BP,6,regulation of cellular amino acid metabolic process,27,58,0.008,0.003,2.496,0.001
4,GO:0150146,e,BP,5,cell junction disassembly,10,12,0.003,0.001,4.467,0.001
5,GO:0035567,e,BP,8,non-canonical Wnt signaling pathway,45,126,0.013,0.007,1.915,0.003
6,GO:1902930,e,BP,5,regulation of alcohol biosynthetic process,28,66,0.008,0.004,2.274,0.004
7,GO:0046033,e,BP,10,AMP metabolic process,10,13,0.003,0.001,4.124,0.004
8,GO:0033238,e,BP,5,regulation of cellular amine metabolic process,31,76,0.009,0.004,2.187,0.004
9,GO:0098883,e,BP,6,synapse pruning,9,11,0.003,0.001,4.386,0.004
10,GO:0016192,e,BP,4,vesicle-mediated transport,351,1529,0.104,0.084,1.231,0.004
11,GO:0044248,e,BP,3,cellular catabolic process,358,1565,0.106,0.086,1.226,0.005
12,GO:0046903,e,BP,4,secretion,236,980,0.070,0.054,1.291,0.005
13,GO:0006887,e,BP,6,exocytosis,172,681,0.051,0.038,1.354,0.006
14,GO:0009056,e,BP,2,catabolic process,409,1820,0.121,0.100,1.205,0.006
15,GO:0098754,e,BP,1,detoxification,40,112,0.012,0.006,1.915,0.008
16,GO:0045055,e,BP,7,regulated exocytosis,155,609,0.046,0.034,1.364,0.009
17,GO:0032880,e,BP,4,regulation of protein localization,232,972,0.069,0.054,1.280,0.010
18,GO:0060071,e,BP,9,"Wnt signaling pathway, planar cell polarity pathway",34,91,0.010,0.005,2.003,0.010
19,GO:0006577,e,BP,5,amino-acid betaine metabolic process,11,17,0.003,0.001,3.469,0.012
20,GO:1905114,e,BP,6,cell surface receptor signaling pathway involved in cell-cell signaling,94,339,0.028,0.019,1.486,0.012
21,GO:1901566,e,BP,4,organonitrogen compound biosynthetic process,211,879,0.062,0.049,1.287,0.015
22,GO:0038093,e,BP,7,Fc receptor signaling pathway,51,160,0.015,0.009,1.709,0.016
23,GO:0051223,e,BP,6,regulation of protein transport,169,682,0.050,0.038,1.328,0.016
24,GO:0070201,e,BP,5,regulation of establishment of protein localization,174,707,0.051,0.039,1.319,0.017
25,GO:1901575,e,BP,3,organic substance catabolic process,351,1562,0.104,0.086,1.205,0.018
26,GO:0044283,e,BP,3,small molecule biosynthetic process,136,533,0.040,0.029,1.368,0.019
27,GO:0090175,e,BP,6,regulation of establishment of planar polarity,37,106,0.011,0.006,1.871,0.019
28,GO:1901135,e,BP,3,carbohydrate derivative metabolic process,189,781,0.056,0.043,1.297,0.019
29,GO:0016055,e,BP,7,Wnt signaling pathway,91,332,0.027,0.018,1.469,0.020
30,GO:1903530,e,BP,6,regulation of secretion by cell,171,697,0.051,0.038,1.315,0.021
31,GO:0062012,e,BP,4,regulation of small molecule metabolic process,106,400,0.031,0.022,1.421,0.022
32,GO:0010273,e,BP,3,detoxification of copper ion,9,13,0.003,0.001,3.711,0.022
33,GO:0090087,e,BP,5,regulation of peptide transport,174,712,0.051,0.039,1.310,0.023
34,GO:0002274,e,BP,4,myeloid leukocyte activation,131,516,0.039,0.028,1.361,0.026
35,GO:0019637,e,BP,4,organophosphate metabolic process,193,806,0.057,0.044,1.284,0.026
36,GO:0051649,e,BP,3,establishment of localization in cell,469,2161,0.139,0.119,1.163,0.031
37,GO:1903531,e,BP,7,negative regulation of secretion by cell,55,182,0.016,0.010,1.620,0.034
38,GO:0055069,e,BP,9,zinc ion homeostasis,14,28,0.004,0.002,2.680,0.035
39,GO:0055086,e,BP,5,nucleobase-containing small molecule metabolic process,123,483,0.036,0.027,1.365,0.037
40,GO:0048583,e,BP,3,regulation of response to stimulus,777,3736,0.230,0.206,1.115,0.039
41,GO:0043436,e,BP,4,oxoacid metabolic process,205,870,0.061,0.048,1.263,0.041
42,GO:0051046,e,BP,5,regulation of secretion,179,746,0.053,0.041,1.286,0.041
43,GO:0061687,e,BP,2,detoxification of inorganic compound,9,14,0.003,0.001,3.446,0.041
44,GO:0009987,e,BP,1,cellular process,2569,13316,0.760,0.735,1.034,0.041
45,GO:0051410,e,BP,2,detoxification of nitrogen compound,5,5,0.001,0.000,5.361,0.042
46,GO:0006082,e,BP,3,organic acid metabolic process,208,887,0.062,0.049,1.257,0.043
47,GO:0006810,e,BP,3,transport,806,3892,0.239,0.215,1.110,0.043
48,GO:0061517,e,BP,4,macrophage proliferation,6,7,0.002,0.000,4.595,0.043
49,GO:0061518,e,BP,5,microglial cell proliferation,6,7,0.002,0.000,4.595,0.043
50,GO:0009058,e,BP,2,biosynthetic process,508,2372,0.150,0.131,1.148,0.046
6929,GO:0051252,p,BP,6,regulation of RNA metabolic process,488,3386,0.144,0.187,0.773,0.000
6930,GO:1903506,p,BP,8,regulation of nucleic acid-templated transcription,448,3134,0.133,0.173,0.766,0.000
6931,GO:2001141,p,BP,7,regulation of RNA biosynthetic process,449,3138,0.133,0.173,0.767,0.000
6932,GO:0006355,p,BP,9,"regulation of transcription, DNA-templated",442,3080,0.131,0.170,0.769,0.000
6933,GO:0019219,p,BP,5,regulation of nucleobase-containing compound metabolic process,536,3629,0.159,0.200,0.792,0.000
6934,GO:2000112,p,BP,6,regulation of cellular macromolecule biosynthetic process,520,3508,0.154,0.194,0.795,0.000
6935,GO:0010556,p,BP,5,regulation of macromolecule biosynthetic process,544,3624,0.161,0.200,0.805,0.000
6936,GO:0050907,p,BP,4,detection of chemical stimulus involved in sensory perception,6,186,0.002,0.010,0.173,0.000
6937,GO:0010468,p,BP,5,regulation of gene expression,673,4342,0.199,0.240,0.831,0.000
6938,GO:0006357,p,BP,10,regulation of transcription by RNA polymerase II,279,2028,0.083,0.112,0.738,0.000
6939,GO:0051171,p,BP,4,regulation of nitrogen compound metabolic process,840,5255,0.249,0.290,0.857,0.000
6940,GO:0080090,p,BP,4,regulation of primary metabolic process,871,5423,0.258,0.299,0.861,0.000
