1,V1,vis_early
2,MST,vis_tpo
3,V6,vis_dors
4,V2,vis_early
5,V3,vis_early
6,V4,vis_early
7,V8,vis_vent
8,4,sen_mot
9,3b,sen_mot
10,FEF,premotor
11,PEF,premotor
12,55b,premotor
13,V3A,vis_dors
14,RSC,post_cing
15,POS2,post_cing
16,V7,vis_dors
17,IPS1,vis_dors
18,FFC,vis_vent
19,V3B,vis_dors
20,LO1,vis_tpo
21,LO2,vis_tpo
22,PIT,vis_vent
23,MT,vis_tpo
24,A1,aud_early
25,PSL,tpoj
26,SFL,dlpfc
27,PCV,post_cing
28,STV,tpoj
29,7Pm,sup_pariet
30,7m,post_cing
31,POS1,post_cing
32,23d,post_cing
33,v23ab,post_cing
34,d23ab,post_cing
35,31pv,post_cing
36,5m,para_midcc
37,5mv,para_midcc
38,23c,post_cing
39,5L,para_midcc
40,24dd,para_midcc
41,24dv,para_midcc
42,7AL,sup_pariet
43,SCEF,para_midcc
44,6ma,para_midcc
45,7Am,sup_pariet
46,7PL,sup_pariet
47,7PC,sup_pariet
48,LIPv,sup_pariet
49,VIP,sup_pariet
50,MIP,sup_pariet
51,1,sen_mot
52,2,sen_mot
53,3a,sen_mot
54,6d,premotor
55,6mp,para_midcc
56,6v,premotor
57,p24pr,mpfc_acc
58,33pr,mpfc_acc
59,a24pr,mpfc_acc
60,p32pr,mpfc_acc
61,a24,mpfc_acc
62,d32,mpfc_acc
63,8BM,mpfc_acc
64,p32,mpfc_acc
65,10r,mpfc_acc
66,47m,ofc
67,8Av,dlpfc
68,8Ad,dlpfc
69,9m,mpfc_acc
70,8BL,dlpfc
71,9p,dlpfc
72,10d,ofc
73,8C,dlpfc
74,44,ifc
75,45,ifc
76,47l,ifc
77,a47r,ofc
78,6r,premotor
79,IFJa,ifc
80,IFJp,ifc
81,IFSp,ifc
82,IFSa,ifc
83,p9-46v,dlpfc
84,46,dlpfc
85,a9-46v,dlpfc
86,9-46d,dlpfc
87,9a,dlpfc
88,10v,mpfc_acc
89,a10p,ofc
90,10pp,ofc
91,11l,ofc
92,13l,ofc
93,OFC,ofc
94,47s,ofc
95,LIPd,sup_pariet
96,6a,premotor
97,i6-8,dlpfc
98,s6-8,dlpfc
99,43,post_oper
100,OP4,post_oper
101,OP1,post_oper
102,OP2-3,post_oper
103,52,insular
104,RI,aud_early
105,PFcm,post_oper
106,PoI2,insular
107,TA2,aud_assoc
108,FOP4,insular
109,MI,insular
110,Pir,insular
111,AVI,insular
112,AAIC,insular
113,FOP1,post_oper
114,FOP3,insular
115,FOP2,insular
116,PFt,inf_pariet
117,AIP,sup_pariet
118,EC,med_temp
119,PreS,med_temp
120,H,med_temp
121,ProS,post_cing
122,PeEc,med_temp
123,STGa,aud_assoc
124,PBelt,aud_early
125,A5,aud_assoc
126,PHA1,med_temp
127,PHA3,med_temp
128,STSda,aud_assoc
129,STSdp,aud_assoc
130,STSvp,aud_assoc
131,TGd,lat_temp
132,TE1a,lat_temp
133,TE1p,lat_temp
134,TE2a,lat_temp
135,TF,lat_temp
136,TE2p,lat_temp
137,PHT,lat_temp
138,PH,vis_tpo
139,TPOJ1,tpoj
140,TPOJ2,tpoj
141,TPOJ3,tpoj
142,DVT,post_cing
143,PGp,inf_pariet
144,IP2,inf_pariet
145,IP1,inf_pariet
146,IP0,inf_pariet
147,PFop,inf_pariet
148,PF,inf_pariet
149,PFm,inf_pariet
150,PGi,inf_pariet
151,PGs,inf_pariet
152,V6A,vis_dors
153,VMV1,vis_vent
154,VMV3,vis_vent
155,PHA2,med_temp
156,V4t,vis_tpo
157,FST,vis_tpo
158,V3CD,vis_tpo
159,LO3,vis_tpo
160,VMV2,vis_vent
161,31pd,post_cing
162,31a,post_cing
163,VVC,vis_vent
164,25,mpfc_acc
165,s32,mpfc_acc
166,pOFC,ofc
167,PoI1,insular
168,Ig,insular
169,FOP5,insular
170,p10p,ofc
171,p47r,ifc
172,TGv,lat_temp
173,MBelt,aud_early
174,LBelt,aud_early
175,A4,aud_assoc
176,STSva,aud_assoc
177,TE1m,lat_temp
178,PI,insular
179,a32pr,mpfc_acc
180,p24,mpfc_acc
