,0,1
0,53637,S1PR5
1,2596,GAP43
2,56341,PRMT8
3,6326,SCN2A
4,8382,NME5
5,401190,RGS7BP
6,11041,B4GAT1
7,64805,P2RY12
8,389941,C1QL3
9,9901,SRGAP3
10,84332,DYDC2
11,10529,NEBL
12,8786,RGS11
13,4986,OPRK1
14,3786,KCNQ3
15,64241,ABCG8
16,147,ADRA1B
17,9495,AKAP5
18,6887,TAL2
19,5874,RAB27B
20,4654,MYOD1
21,727800,RNF208
22,10881,ACTL7A
23,10396,ATP8A1
24,23762,OSBP2
25,2571,GAD1
26,5803,PTPRZ1
27,284217,LAMA1
28,387601,SLC22A25
29,11113,CIT
30,83546,RTBDN
31,25769,SLC24A2
32,10297,APC2
33,57795,BRINP2
34,386617,KCTD8
35,2558,GABRA5
36,6751,SSTR1
37,8671,SLC4A4
38,51310,SLC22A17
39,22844,FRMPD1
40,1586,CYP17A1
41,284485,RIIAD1
42,392309,OR13J1
43,4675,NAP1L3
44,22920,KIFAP3
45,9498,SLC4A8
46,10777,ARPP21
47,9745,ZNF536
48,6863,TAC1
49,121256,TMEM132D
50,9479,MAPK8IP1
51,10125,RASGRP1
52,5662,PSD
53,7461,CLIP2
54,27233,SULT1C4
55,5225,PGC
56,6860,SYT4
57,442425,FOXB2
58,80319,CXXC4
59,7087,ICAM5
60,30010,NXPH1
61,131096,KCNH8
62,11275,KLHL2
63,84966,IGSF21
64,887,CCKBR
65,26330,GAPDHS
66,26575,RGS17
67,645191,LINGO3
68,54715,RBFOX1
69,84688,C9ORF24
70,3739,KCNA4
71,26609,VCX
72,85449,KIAA1755
73,56934,CA10
74,10752,CHL1
75,64506,CPEB1
76,168667,BMPER
77,9705,ST18
78,338707,B4GALNT4
79,7809,BSND
80,23546,SYNGR4
81,150165,XKR3
82,2583,B4GALNT1
83,23148,NACAD
84,10485,C1ORF61
85,79012,CAMKV
86,51617,NSG2
87,83992,CTTNBP2
88,2922,GRP
89,57582,KCNT1
90,54438,GFOD1
91,84063,KIRREL2
92,57526,PCDH19
93,57633,LRRN1
94,5099,PCDH7
95,347252,IGFBPL1
96,11249,NXPH2
97,2550,GABBR1
98,23149,FCHO1
99,84618,NT5C1A
100,8387,OR1E1
101,170690,ADAMTS16
102,54769,DIRAS2
103,27112,FAM155B
