,tau,logtau
V1,17.369645197330232,1.239790947381158
MST,14.266526814492277,1.154318257004352
V6,14.733831442524712,1.1683156971463846
V2,18.59916705337887,1.269493495173758
V3,17.063108965719774,1.2320581642079735
V4,19.952829504997002,1.3000044915652225
V8,13.004327249887927,1.1140878898484106
4,15.108096307629303,1.1792097446052268
3b,16.78209204561615,1.2248460987593153
FEF,14.971312311671845,1.175259870131848
PEF,13.907011079454902,1.1432338006475764
55b,19.63014391141553,1.2929234834871457
V3A,15.018512150865321,1.1766269102530327
RSC,23.721421748092645,1.3751407149977566
POS2,15.315930132134223,1.185143376525364
V7,15.808026830072572,1.198877664347714
IPS1,16.204607788207127,1.2096385239533112
FFC,18.851145624977097,1.275337748360768
V3B,20.71235201616543,1.3162294185285468
LO1,22.70669874405537,1.3561539980921753
LO2,15.950254025349317,1.2027676040658626
PIT,13.522384127193108,1.1310532686767758
MT,15.966244637656994,1.2032027793237674
A1,19.59801497470865,1.2922120851734122
PSL,19.16053162782886,1.2824075548380074
SFL,23.74011786637879,1.375482870835541
PCV,24.530677587727478,1.3897095444781673
STV,17.630757852568674,1.2462709807119579
7Pm,17.198646518128957,1.2354942705798295
7m,17.930646633369722,1.2535959518176456
POS1,16.408086995248343,1.2150579499844048
23d,9.701180551933225,0.9868245874613852
v23ab,28.064599335227093,1.4481588463867239
d23ab,25.35877491145511,1.4041282688450896
31pv,23.812972464991844,1.3768136097925363
5m,16.59440704646429,1.2199617387543042
5mv,20.885501836189768,1.3198449149408398
23c,17.294248356907197,1.2379016914419552
5L,16.144973382587228,1.2080373333541083
24dd,12.201272954516286,1.08640514282905
24dv,15.348798773310797,1.1860743924167112
7AL,26.208802690950062,1.4184471813208586
SCEF,15.25952161213944,1.1835409186473882
6ma,17.096600909363627,1.232909773956808
7Am,27.824158814761482,1.4444220435321895
7PL,16.120638533348714,1.2073822400756273
7PC,18.177497229010743,1.2595340871117804
LIPv,20.05853262144583,1.3022991591072197
VIP,29.677023230954568,1.4724203366607171
MIP,16.60076670547217,1.2201281463693594
1,15.669999216651329,1.1950689747580596
2,13.346654094945682,1.1253724050093252
3a,15.695738720594164,1.1957817606048946
6d,12.399054629508198,1.0933885734816267
6mp,12.508001096913972,1.0971879106572135
6v,19.35591477943218,1.2868137013212824
p24pr,16.86243655576792,1.2269203286677006
33pr,17.84861552523704,1.2516045345620037
